标准号,国际标准编号,采标类型
GB/T 45464-2025,,
GB/T 45390-2025,,
GB/T 45387-2025,,
GB/T 45391-2025,ISO 20339:2017,等同采用
GB/T 45414-2025,,
GB/T 26354-2025,,
GB/T 4340.2-2025,ISO 6507-2:2018,修改采用
GB/T 30237-2025,,
GB/T 45384-2025,,
GB/T 25820-2025,ISO 24259:2022,修改采用
GB/T 28885-2025,,
GB/T 45466-2025,,
GB/T 45467-2025,,
GB/T 45468-2025,,
GB/T 32456-2025,,
GB/Z 45388.1-2025,IEC TS 62872-1:2019,等同采用
GB/T 45389-2025,,
GB/T 45393.2-2025,,
GB/T 45393.4-2025,,
GB/T 6516-2025,,
GB/T 21638-2025,,
GB/T 45436-2025,,
GB/T 31968-2025,,
GB/T 26002-2025,,
GB/T 1040.1-2025,ISO 527-1:2019,修改采用
GB/T 45469-2025,,
GB/T 15074-2025,,
GB/T 45471-2025,,
GB/T 20725-2025,ISO 17470:2014,等同采用
GB/T 45392-2025,,
GB/T 45395-2025,,
GB/T 45394-2025,,
GB/T 45393.5-2025,,
GB/T 45396-2025,,
GB/T 45578-2025,ISO 24543:2022,等同采用
GB/T 38205.1-2025,ISO 6020-1:2007,修改采用
GB/T 5843-2025,,
GB/T 45399-2025,,
GB/T 23506-2025,,
GB/T 45470-2025,,
GB/T 45474-2025,,
GB/T 45398-2025,,
GB/T 45397-2025,,
GB/T 45400-2025,,
GB/T 45402-2025,,
GB/T 45403-2025,,
GB/T 8152.6-2025,,
GB/T 17365-2025,,
GB/T 14601-2025,,
GB/T 45475.2-2025,ISO 20557-2:2018,修改采用
GB/T 45475.1-2025,ISO 20557-1:2018,修改采用
GB/T 45473-2025,ISO 24360:2022,等同采用
GB/T 25025-2025,,
GB/T 45401.2-2025,,
GB/T 45405-2025,,
GB/T 22459.10-2025,ISO 13765-7:2021,修改采用
GB/T 45385-2025,ISO 23551-10:2016,修改采用
GB/T 24238-2025,,
GB/T 14851-2025,,
GB/T 20236-2025,,
GB/T 29847-2025,,
GB/T 31379.1-2025,,
GB/T 28906-2025,,
GB/T 33920-2025,,
GB/T 3091-2025,,
GB/T 45476-2025,,
GB/T 32468-2025,,
GB/T 45477-2025,,
GB/T 45495-2025,,
GB/T 45497-2025,,
GB/T 37507-2025,ISO 21502:2020,等同采用
GB/T 45386.1-2025,,
GB/T 35205.1-2025,ISO 10896-1:2020,等同采用
GB/T 5844-2025,,
GB/T 12385-2025,,
GB/T 45472-2025,,
GB/T 45451.1-2025,ISO 20848-1:2006,修改采用
GB/T 45451.2-2025,ISO 20848-2:2006,修改采用
GB/T 16262.3-2025,ISO/IEC 8824-3:2021,等同采用
GB/T 45434.3-2025,,
GB/T 45435-2025,,
GB/T 45434.2-2025,,
GB/T 45284.16-2025,ISO/IEC 39794-16:2021,等同采用
GB/T 45284.17-2025,ISO/IEC 39794-17:2021,等同采用
GB/T 45480-2025,ISO 4295:1988,修改采用
GB/T 4354-2025,,
GB/T 45507-2025,,
GB/T 45481-2025,,
GB/T 45455-2025,ISO 8018:2007,等同采用
GB/T 5612-2025,,
GB/T 45456-2025,,
GB/T 9065.2-2025,ISO 12151-2:2022,修改采用
